actor_1,actor_2,movie_title,year,genre,director,page_id
יוסי ידין,תקוה מור,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
יוסי ידין,אורי לוי,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
יוסי ידין,מרדכי ארנון,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
יוסי ידין,עמוס אבני,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
יוסי ידין,אבנר חזקיהו,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
שייקה אופיר,שמעון פינקל,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
שייקה אופיר,תקוה מור,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
שייקה אופיר,אורי לוי,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
שייקה אופיר,מרדכי ארנון,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
שייקה אופיר,עמוס אבני,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
שייקה אופיר,אבנר חזקיהו,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
שמעון פינקל,תקוה מור,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
שמעון פינקל,אורי לוי,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
שמעון פינקל,מרדכי ארנון,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
שמעון פינקל,עמוס אבני,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
שמעון פינקל,אבנר חזקיהו,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
תקוה מור,אורי לוי,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
תקוה מור,מרדכי ארנון,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
תקוה מור,עמוס אבני,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
תקוה מור,אבנר חזקיהו,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
אורי לוי,מרדכי ארנון,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
אורי לוי,עמוס אבני,"אלדורדו (סרט, 1963)",1963,בית משפט,מנחם גולן,934289
