page_id,movie_title,year
1077070,מפטיר (סרט),2008
1740532,סוף שבוע בגליל,2008
897341,סוף שבוע בתל אביב,2008
681992,סרוגייט (סרט),2008
900387,עץ לימון (סרט),2008
2242048,פרשת רות,2008
2270080,שבע דקות בגן עדן (סרט),2008
593468,שבעה (סרט),2008
580958,שיטת השקשוקה,2008
2442254,תזכור את זה,2008
1059355,תעלומה במכולה הירוקה,2008
834974,אילי ובן,2009
633820,אצבע אלוהים (סרט),2009
1084002,בדרך אל החתולים (סרט),2009
817903,גחליליות (סרט),2009
2392559,האור השחור,2009
914739,הבודדים,2009
694081,הזמן הוורוד (סרט),2009
1710437,היו לילות (סרט),2009
1292160,היסטוריה של הקולנוע הישראלי (2009),2009
2217041,זוג או פרד (סרט),2009
1491304,חורבה (סרט),2009
752211,חמש שעות מפריז,2009
974442,טייארה,2009
2505142,כבר לא ירושלמי,2009
1045903,כלת הים,2009
1046715,כן המפקדת,2009
705231,לבנון (סרט),2009
2320918,לחיות מחדש,2009
764515,מחכה לו,2009
1043634,"נופל וקם - סיפורה של שב""ק ס'",2009
737575,נתיב המזלות,2009
692360,סיפור גדול,2009
709156,עג'מי (סרט),2009
668977,עיניים פקוחות,2009
737385,קירות (סרט),2009
288519,רגליים קרות (סרט),2009
936975,אווה: שם זמני,2010
564272,ארץ בראשית,2010
1743923,בן חוזר הביתה,2010
1143785,בנא,2010
854470,הדקדוק הפנימי,2010
1000696,המדריך למהפכה,2010
2243200,המשוטט,2010
1640880,התגנבות יחידים (סרט קולנוע),2010
798392,זוהי סדום,2010
1135372,זרמים קטועים,2010
1508449,חבורת ראש כרוב,2010
817125,חיים יקרים,2010
769077,חצי טון ברונזה,2010
847929,כלבת (סרט),2010
1051984,לנין באוקטובר,2010
777776,מאיה (סרט),2010
2515341,מקבל ההחלטות,2010
851348,עוד אני הולך (סרט),2010
755388,פובידיליה,2010
789488,פעם הייתי,2010
812556,שליחותו של הממונה על משאבי אנוש (סרט),2010
860559,שתיקת הארכיון,2010
1082984,אחותי היפה,2011
930838,בוקר טוב אדון פידלמן,2011
1054473,בין השמשות (סרט),2011
964510,ג'ו + בל,2011
858270,גיא אוני (סרט),2011
1104683,דומא (סרט),2011
1071246,הדירה (סרט תיעודי),2011
1046482,ההתחלפות,2011
1002344,החולמות,2011
871269,המשימה X,2011
880397,הערת שוליים (סרט),2011
2183907,הפנטזיה הגדולה של סימיקו הקטן,2011
897714,הצלמניה (סרט),2011
947179,השוטר,2011
1049012,וביום השלישי,2011
1375058,ויהי אור (סרט),2011
2252190,ילדי היטלר (סרט),2011
953022,לא רואים עליך,2011
961184,לאה גולדברג בחמישה בתים,2011
949787,לאן נעלם משה גז,2011
2126647,מבול (סרט),2011
933388,מוסטאר הלוך ושוב,2011
1354242,מוסר השילומים,2011
955592,מורעלים,2011
1076969,מי אתה בשבילי,2011
2515221,סטנד אפ (סרט),2011
1078945,עד סוף הקיץ,2011
1584106,עיניים כאלה,2011
2180589,עמק תפארת,2011
2141396,פלייאוף (סרט),2011
2125742,רסיסי אהבה,2011
957015,שישה מיליון ואחד,2011
969662,שלטון החוק (סרט),2011
1322034,תפרים (סרט),2011
1079173,2 בלילה,2012
1622132,7 הסלילים של יונה וולך,2012
1080413,אורחים לרגע,2012
1051974,איגור ומסע העגורים,2012
1243783,איה (סרט),2012
1086616,"אליס (סרט, 2012)",2012
1081821,אנחנו לא לבד,2012
1082147,אף פעם לא מאוחר מדי,2012
1584101,באטמן במחסום,2012
1035188,בלדה לאביב הבוכה,2012
1043510,ברקיע החמישי,2012
984538,בשר תותחים (סרט),2012
1074967,ג'נטל דוג,2012
988845,"ד""ר פומרנץ",2012
1856753,"הביתה, הלוך חזור (סרט)",2012
1081227,הדילרים,2012
1168553,החיים בינתיים,2012
1044146,המשגיחים,2012
1272287,הנותנת,2012
991971,הסיפור של יוסי,2012
1004427,העולם מצחיק,2012
2479146,השקר הגדול,2012
1070154,זוהר הרקיע,2012
1083902,זמן פוניבז',2012
1036393,חדר 514,2012
1056108,חיותה וברל,2012
1069114,חמש מצלמות שבורות,2012
916393,חתולים על סירת פדלים,2012
1079957,יותר איטי מלב,2012
1054501,לא בתל אביב,2012
1038118,למלא את החלל,2012
1009923,מלאכיות בלבן,2012
1080121,מלח ים (סרט),2012
1056131,מנתק המים,2012
1081294,ניקה (סרט),2012
1040531,נמס בגשם (סרט),2012
1081520,סרק סרק,2012
1063162,עלטה,2012
1067195,קשר חופשי,2012
1035389,רווקה פלוס,2012
1068997,שומרי הסף,2012
1398966,שרקייה (סרט),2012
1054552,שש פעמים,2012
2133581,אנשים כתומים,2013
1131011,בית לחם (סרט),2013
1076523,"בננות (סרט, 2013)",2013
2170601,דבר על מקום הימצאם,2013
1196644,האירוויזיוניסטים,2013
2159216,הבן של אלוהים,2013
1526329,הדיונה (סרט),2013
2222063,הורה 79,2013
1081429,המסע לכוכב המינימיקים,2013
1538653,המעבדה (סרט),2013
1081894,הנוער,2013
1080119,הצגה יומית (סרט),2013
1100676,חלום קוסטוריצה,2013
1984295,יללת הזאבים,2013
1310672,כידון (סרט),2013
1136092,כנס העתידנים (סרט),2013
1140875,לוויה בצהריים,2013
1116608,לצוד פילים,2013
2123778,מחכים לסורקין,2013
1124894,מי מפחד מהזאב הרע (סרט),2013
2134167,מעל הגבעה,2013
1056136,מעשייה אורבנית,2013
2168501,מקום בגן עדן,2013
1112439,משפחת כולאני,2013
2212056,"עיר מקלט (סרט, 2013)",2013
1108009,פלאות,2013
1837238,פנתר לבן (סרט),2013
2184057,פרדייס קרוז,2013
1284040,צל בבגדד,2013
1076525,רוק בקסבה,2013
1143849,רימון הזהב,2013
1510542,שבלולים בגשם,2013
1172930,אושר עטוף בשמיכה,2014
1199333,אפס ביחסי אנוש,2014
1356947,את לי לילה (סרט),2014
1429284,בורג (סרט),2014
